page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
  24    72 smask    1250  1250  gray    1   8  image  no       743  0  1587  1587 44.1K 2.9%
  25    73 image    1250  1250  rgb     3   8  image  no       743  0  1587  1587 53.1K 1.2%
  25    74 smask    1250  1250  gray    1   8  image  no       743  0  1587  1587 44.1K 2.9%
  25    75 image     762   508  gray    1   8  jpeg   no       322  0   150   150  110K  29%
  26    76 image    1250  1250  rgb     3   8  image  no       743  0  1587  1587 53.1K 1.2%
  26    77 smask    1250  1250  gray    1   8  image  no       743  0  1587  1587 44.1K 2.9%
  27    78 image    1250  1250  rgb     3   8  image  no       743  0  1587  1587 53.1K 1.2%
  27    79 smask    1250  1250  gray    1   8  image  no       743  0  1587  1587 44.1K 2.9%
  28    80 image    1250  1250  rgb     3   8  image  no       743  0  1587  1587 53.1K 1.2%
  28    81 smask    1250  1250  gray    1   8  image  no       743  0  1587  1587 44.1K 2.9%
  29    82 image    1250  1250  rgb     3   8  image  no       743  0  1587  1587 53.1K 1.2%
  29    83 smask    1250  1250  gray    1   8  image  no       743  0  1587  1587 44.1K 2.9%
  30    84 image    1250  1250  rgb     3   8  image  no       743  0  1587  1587 53.1K 1.2%
  30    85 smask    1250  1250  gray    1   8  image  no       743  0  1587  1587 44.1K 2.9%
  30    86 image    4645  2313  rgb     3   8  image  no       352  0  1157  1157  920K 2.9%
  31    87 image    1250  1250  rgb     3   8  image  no       743  0  1587  1587 53.1K 1.2%
  31    88 smask    1250  1250  gray    1   8  image  no       743  0  1587  1587 44.1K 2.9%
  32    89 image    1250  1250  rgb     3   8  image  no       743  0  1587  1587 53.1K 1.2%
  32    90 smask    1250  1250  gray    1   8  image  no       743  0  1587  1587 44.1K 2.9%
  33    91 image    1250  1250  rgb     3   8  image  no       743  0  1587  1587 53.1K 1.2%
  33    92 smask    1250  1250  gray    1   8  image  no       743  0  1587  1587 44.1K 2.9%
  34    93 image    1250  1250  rgb     3   8  image  no       743  0  1587  1587 53.1K 1.2%
  34    94 smask    1250  1250  gray    1   8  image  no       743  0  1587  1587 44.1K 2.9%
  34    95 image    1828  1126  icc     3   8  image  no       381  0   455   455 1871K  31%
  34    96 smask    1828  1126  gray    1   8  image  no       381  0   455   455 3437B 0.2%
  35    97 image    1250  1250  rgb     3   8  image  no       743  0  1587  1587 53.1K 1.2%
  35    98 smask    1250  1250  gray    1   8  image  no       743  0  1587  1587 44.1K 2.9%
  36    99 image    1250  1250  rgb     3   8  image  no       743  0  1587  1587 53.1K 1.2%
  36   100 smask    1250  1250  gray    1   8  image  no       743  0  1587  1587 44.1K 2.9%
  37   101 image    1250  1250  rgb     3   8  image  no       743  0  1587  1587 53.1K 1.2%
  37   102 smask    1250  1250  gray    1   8  image  no       743  0  1587  1587 44.1K 2.9%
  37   103 image      97  1194  rgb     3   8  image  no       402  0   655   648 60.1K  18%
  37   104 smask      97  1194  gray    1   1  image  no       402  0   655   648   57B 0.4%
  37   105 image    1853  1227  rgb     3   8  image  no       404  0   667   665 2202K  33%
  37   106 smask    1853  1227  gray    1   1  image  no       404  0   667   665 1335B 0.5%
  38   107 image    1250  1250  rgb     3   8  image  no       743  0  1587  1587 53.1K 1.2%
  38   108 smask    1250  1250  gray    1   8  image  no       743  0  1587  1587 44.1K 2.9%
  38   109 image     962   622  rgb     3   8  image  no       413  0   315   315  155K 8.9%
  38   110 image     962   622  rgb     3   8  image  no       414  0   315   315 68.6K 3.9%
  39   111 image    1250  1250  rgb     3   8  image  no       743  0  1587  1587 53.1K 1.2%
  39   112 smask    1250  1250  gray    1   8  image  no       743  0  1587  1587 44.1K 2.9%
  40   113 image    1250  1250  rgb     3   8  image  no       743  0  1587  1587 53.1K 1.2%
  40   114 smask    1250  1250  gray    1   8  image  no       743  0  1587  1587 44.1K 2.9%
  40   115 image    2332   518  rgb     3   8  image  no       424  0   410   410 97.7K 2.8%
  40   116 image    1665   667  rgb     3   8  image  no       425  0   327   327  483K  15%
  41   117 image    1250  1250  rgb     3   8  image  no       743  0  1587  1587 53.1K 1.2%
  41   118 smask    1250  1250  gray    1   8  image  no       743  0  1587  1587 44.1K 2.9%
  42   119 image    1250  1250  rgb     3   8  image  no       743  0  1587  1587 53.1K 1.2%
  42   120 smask    1250  1250  gray    1   8  image  no       743  0  1587  1587 44.1K 2.9%
  43   121 image    1250  1250  rgb     3   8  image  no       743  0  1587  1587 53.1K 1.2%
  43   122 smask    1250  1250  gray    1   8  image  no       743  0  1587  1587 44.1K 2.9%
  44   123 image    1250  1250  rgb     3   8  image  no       743  0  1587  1587 53.1K 1.2%
  44   124 smask    1250  1250  gray    1   8  image  no       743  0  1587  1587 44.1K 2.9%
